MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
16,-25.06,-9.31,344.75,0.00,0.00,180.00,-0.461,0.123,0.859,-18.00,-2.62,-2.94,8.06,44.5,25856.0000000,57600.0000000
17,-25.12,-7.31,343.81,0.00,0.00,180.00,-0.431,0.143,0.869,-28.56,1.81,6.31,8.06,44.5,25856.0000000,57600.0000000
18,-25.62,-5.44,342.38,0.00,0.00,180.00,-0.456,0.156,0.866,-24.00,5.12,7.88,8.06,44.5,25856.0000000,57600.0000000
19,-26.56,-5.19,341.62,0.00,0.00,180.00,-0.528,0.165,0.926,-4.94,9.44,-4.69,8.06,30.0,25856.0000000,57600.0000000
20,-27.44,-5.88,343.75,0.00,0.00,180.00,-0.412,0.080,0.858,37.06,9.81,-31.25,8.06,30.0,25856.0000000,57600.0000000
21,-27.00,-7.62,349.81,0.00,0.00,180.00,-0.400,0.153,0.750,40.12,-23.50,-60.00,8.06,30.0,25856.0000000,57600.0000000
22,-25.69,-7.75,356.00,0.00,0.00,180.00,-0.413,0.044,1.017,29.38,-9.56,-29.56,8.06,30.0,25856.0000000,57600.0000000
23,-26.00,-9.19,358.81,0.00,0.00,180.00,-0.426,0.123,0.764,17.31,5.88,-18.88,8.06,30.0,25856.0000000,57600.0000000
24,-26.88,-8.69,0.75,0.00,0.00,180.00,-0.389,0.087,0.913,-1.62,5.50,-19.25,8.06,30.0,25856.0000000,57600.0000000
25,-27.25,-7.56,3.75,0.00,0.00,180.00,-0.394,0.050,0.878,10.75,2.00,-35.56,8.06,30.0,25856.0000000,57600.0000000
26,-26.56,-7.00,8.31,0.00,0.00,180.00,-0.457,0.033,0.923,19.38,-26.06,-41.50,8.06,30.0,25856.0000000,57600.0000000
27,-24.38,-6.94,12.12,0.00,0.00,180.00,-0.369,-0.013,0.899,12.06,-21.38,-24.00,8.06,30.0,25856.0000000,57600.0000000
28,-22.94,-6.50,13.44,0.00,0.00,180.00,-0.379,0.005,0.867,-7.56,-15.50,5.44,8.06,30.0,25856.0000000,57600.0000000
29,-21.69,-4.56,10.25,0.00,0.00,180.00,-0.355,0.007,0.934,-31.81,-8.69,50.38,8.06,30.0,25856.0000000,57600.0000000
